nom_site,adresse,cp,ville,adresse_complete,geo_coordinates,arrondissement
Square Ferdinand Brunot,Place Ferdinand Brunot,75014,PARIS,Place Ferdinand Brunot 75014 PARIS France,"48.832909, 2.32645",14
Square Georges Cain,"14, Rue Payenne",75003,PARIS,"14, Rue Payenne 75003 PARIS France","48.858379, 2.36256",03
Square Henri Huchard,"32, Avenue De La Porte De Saint Ouen",75018,PARIS,"32, Avenue De La Porte De Saint Ouen 75018 PARIS France","48.8997, 2.32986",18
Square Julia Bartet,Rue Julia Bartet,75014,PARIS,Rue Julia Bartet 75014 PARIS France,"48.826363, 2.303192",14
Square Marcel Mouloudji,"2, Rue Pierre Reverdy",75019,PARIS,"2, Rue Pierre Reverdy 75019 PARIS France","48.8853, 2.37628",19
Square Saint Lambert 1,"1, Rue Theophraste Renaudot",75015,PARIS,"1, Rue Theophraste Renaudot 75015 PARIS France","48.842766, 2.295214",15
Square Sainte-Helene,"41, Rue Letort.",75018,PARIS,"41, Rue Letort. 75018 PARIS France","48.895981, 2.34342",18
Square Suzanne Buisson,"7, Rue Girardon.",75018,PARIS,"7, Rue Girardon. 75018 PARIS France","48.888034, 2.337743",18
Square Trinite D'Estienne D'Orves,Rue Blanche,75009,PARIS,Rue Blanche 75009 PARIS France,"48.87991, 2.331357",09
Bibliothèque Picpus,"70, Rue De Picpus",75012,PARIS,"70, Rue De Picpus 75012 PARIS France","48.84259, 2.39758",12
HALLE GEORGES CARPENTIER,81 BLD MASSENA,75013,PARIS,81 BLD MASSENA 75013 PARIS France,"48.820911, 2.3682",13
MEDIATHEQUE MARGUERITE DURAS,115 RUE DE BAGNOLET,75020,PARIS,115 RUE DE BAGNOLET 75020 PARIS France,"48.859772, 2.40325",20
Maison Communale du 15 ème,69 RUE VIOLET,75015,PARIS,69 RUE VIOLET 75015 PARIS France,"48.845638, 2.29131",15
Parc Monceau,"1, Place De La Republique Dominicaine",75008,PARIS,"1, Place De La Republique Dominicaine 75008 PARIS France","48.873548, 2.31079",08
Maison des Associations du 1er -,5 bis rue du Louvre,75001,PARIS,5 bis rue du Louvre 75001 PARIS France,"48.861839, 2.34131",01
Hotel de Ville (sous-sol et rdc),"4, Place De L'Hotel De Ville",75004,PARIS,"4, Place De L'Hotel De Ville 75004 PARIS France","48.85694, 2.35212",04
Parvis De L'Hotel De Ville,"9, Place De L'Hotel De Ville",75004,PARIS,"9, Place De L'Hotel De Ville 75004 PARIS France","48.857151, 2.3513",04
Antenne Jeune Davout,"94, Boulevard Davout",75020,PARIS,"94, Boulevard Davout 75020 PARIS France","48.856701, 2.41",20
Bibliothèque Charlote Delbo,"2, Passage Des Petits Peres",75002,PARIS,"2, Passage Des Petits Peres 75002 PARIS France","48.866459, 2.34039",02
Bibliothèque Courcelles,"17 Ter, Avenue Beaucour",75008,PARIS,"17 Ter, Avenue Beaucour 75008 PARIS France","48.877708, 2.30313",08
Bibliothèque Couronnes,"66, Rue Des Couronnes",75020,PARIS,"66, Rue Des Couronnes 75020 PARIS France","48.8703, 2.38518",20
Bibliothèque Crimee,"42, Rue Petit",75019,PARIS,"42, Rue Petit 75019 PARIS France","48.88493, 2.38291",19
Bibliothèque Port Royal,"88 Ter, Boulevard De Port Royal",75005,PARIS,"88 Ter, Boulevard De Port Royal 75005 PARIS France","48.839031, 2.33915",05
Bibliothèque Reunion,"29-35, Rue Des Haies",75020,PARIS,"29-35, Rue Des Haies 75020 PARIS France","48.853119, 2.40104",20
Bibliothèque Saint Eloi,"23, Rue Du Colonel Rozanoff",75012,PARIS,"23, Rue Du Colonel Rozanoff 75012 PARIS France","48.845532, 2.38722",12
Bibliothèque Trocadero,"2, Rue Du Commandant Schloesing",75016,PARIS,"2, Rue Du Commandant Schloesing 75016 PARIS France","48.861839, 2.28524",16
Centre d'Accueil Kellermann,"17, Boulevard Kellermann",75013,PARIS,"17, Boulevard Kellermann 75013 PARIS France","48.819801, 2.35673",13
Centre d'Animation Les Halles Le Marais,"6, Place Carree",75001,PARIS,"6, Place Carree 75001 PARIS France","48.88274, 2.38249",01
Centre d'Animation Louis Lumiere,"46, Rue Louis Lumiere",75020,PARIS,"46, Rue Louis Lumiere 75020 PARIS France","48.86042, 2.41127",20
Centre d'Animation Montgallet,"4, Passage Stinville",75012,PARIS,"4, Passage Stinville 75012 PARIS France","48.844219, 2.38831",12
Hotel D Albret,"31, Rue Des Francs Bourgeois",75004,PARIS,"31, Rue Des Francs Bourgeois 75004 PARIS France","48.857601, 2.36093",04
Jardin Catherine Laboure,"33, Rue De Babylone",75007,PARIS,"33, Rue De Babylone 75007 PARIS France","48.851681, 2.31987",07
Jardin Cyprian Norwid,"36, Rue Du Chevaleret",75013,PARIS,"36, Rue Du Chevaleret 75013 PARIS France","48.828129, 2.37666",13
Square Claude Bernard,Boulevard Macdonald,75019,PARIS,Boulevard Macdonald 75019 PARIS France,"48.898666, 2.378679",19
Jardin De La Promenade Pereire,"211, Boulevard Pereire",75017,PARIS,"211, Boulevard Pereire 75017 PARIS France","48.88097, 2.2902",17
Jardin Du Ranelagh,Chaussee De La Muette,75016,PARIS,Chaussee De La Muette 75016 PARIS France,"48.858345, 2.270875",16
Jardin Louis Majorelle,"24, Rue De La Forge Royale",75011,PARIS,"24, Rue De La Forge Royale 75011 PARIS France","48.851952, 2.38078",11
Jardin Porte De Saint Cloud,"20, Avenue Ferdinand Buisson",75016,PARIS,"20, Avenue Ferdinand Buisson 75016 PARIS France","48.836784, 2.253456",16
Jardin Rue Debergue,34 Rue Du Rendez-Vous,75012,PARIS,34 Rue Du Rendez-Vous 75012 PARIS France,"48.84568, 2.40333",12
Jardin Tino Rossi,8 Quai Saint Bernard,75005,PARIS,8 Quai Saint Bernard 75005 PARIS France,"48.847408, 2.36012",05
Mairie du 15E Arrondissement,"31, Rue Peclet",75015,PARIS,"31, Rue Peclet 75015 PARIS France","48.841511, 2.29971",15
Mairie du 16E Arrondissement,"71, Avenue Henri Martin",75016,PARIS,"71, Avenue Henri Martin 75016 PARIS France","48.86404, 2.27662",16
Mairie du 19E Arrondissement,"5, Place Armand Carrel",75019,PARIS,"5, Place Armand Carrel 75019 PARIS France","48.882622, 2.38203",19
Mairie du 2E Arrondissement,"8, Rue De La Banque",75002,PARIS,"8, Rue De La Banque 75002 PARIS France","48.866852, 2.34037",02
Mairie du 5E Arrondissement,"21, Place Du Pantheon",75005,PARIS,"21, Place Du Pantheon 75005 PARIS France","48.84623, 2.344676",05
Maison de Balzac,"47, Rue Raynouard",75016,PARIS,"47, Rue Raynouard 75016 PARIS France","48.855419, 2.2807",16
Maison de Victor Hugo,"6, Place Des Vosges",75004,PARIS,"6, Place Des Vosges 75004 PARIS France","48.854931, 2.36615",04
Maison des Associations Du 11eme,"8, Rue Du General Renault",75011,PARIS,"8, Rue Du General Renault 75011 PARIS France","48.861401, 2.37835",11
Maison des Associations Du 19eme,"20, Rue Edouard Pailleron",75019,PARIS,"20, Rue Edouard Pailleron 75019 PARIS France","48.880489, 2.37645",19
